id,flow1,flow2
804,0.06,0.06
805,0.07,0.08
806,0.06,0.08
807,1.14,1.24
808,0.06,0.08
809,0.1,0.11
810,17.28,17.79
811,1.16,1.22
812,0.72,0.76
813,0.06,0.08
814,0.06,0.06
815,0.06,0.06
816,0.08,0.06
817,0.06,0.06
818,1.22,1.31
819,0.06,0.08
820,2.92,3.09
821,0.73,0.77
822,0.07,0.08
823,1.33,1.42
824,1.45,1.54
825,0.06,0.08
826,0.07,0.08
827,3.2,3.34
828,0.79,0.84
829,2.51,2.64
830,0.06,0.08
831,0.05,0.06
832,5.48,5.76
833,4.27,4.44
834,0.71,0.86
835,13.55,13.99
836,0.06,0.08
837,0.72,0.77
838,1.2,1.29
839,1.42,1.5
840,0.06,0.06
841,1.24,1.31
842,2.96,3.08
843,8.42,8.71
844,0.06,0.08
845,0.07,0.08
846,0.06,0.08
847,0.73,0.78
848,0.07,0.08
849,5.71,5.93
850,0.6,0.63
851,3.68,3.86
852,0.06,0.06
853,1.1,1.15
854,0.07,0.08
855,0.06,0.06
856,1.12,1.19
857,7.95,9.11
858,0.07,0.08
859,0.07,0.08
860,1.29,1.35
861,4.92,5.08
862,0.09,0.11
863,0.05,0.06
864,1.34,1.41
865,0.06,0.06
866,0.07,0.08
867,0.06,0.06
868,0.56,0.74
869,4.02,4.19
870,0.08,0.08
871,0.06,0.06
872,0.08,0.06
873,0.09,0.08
874,0.78,0.82
875,0.08,0.08
876,0.07,0.08
877,1.3,1.37
878,2.08,2.2
879,0.88,0.94
880,0.06,0.08
881,4.08,4.24
882,1.37,1.45
883,0.06,0.08
884,0.07,0.06
885,70.92,73.83
886,1.02,1.09
887,1.42,1.51
888,3.88,4.05
889,3.51,3.72
890,0.68,0.84
891,66.83,69.56
892,0.08,0.11
893,3.27,3.45
894,0.06,0.06
895,1.04,1.09
896,1.76,1.86
897,0.06,0.06
898,1.2,1.29
899,2.6,2.75
900,0.05,0.06
901,0.83,0.87
902,1.86,1.96
903,0.06,0.08
904,47.34,48.3
905,3.66,3.84
906,0.08,0.06
907,11.53,11.85
908,0.07,0.08
909,0.05,0.06
910,2.85,2.96
911,0.09,0.08
912,2.39,2.53
913,2.88,2.99
914,1.14,1.21
915,1.23,1.29
916,0.06,0.06
917,0.07,0.08
918,3.67,3.82
919,2.26,2.37
920,2.34,2.46
921,0.07,0.08
922,1.3,1.38
923,0.06,0.06
924,0.89,0.98
925,0.09,0.11
926,1.18,1.27
927,7.2,7.42
928,0.35,0.48
929,0.07,0.06
930,0.93,0.99
931,5.98,6.17
932,8.25,8.73
933,0.06,0.08
934,0.87,0.92
935,4.02,4.16
936,6.88,7.13
937,2.54,2.64
938,0.08,0.06
939,0.06,0.08
940,2.41,2.57
941,1.12,1.22
942,0.81,0.93
943,1.09,1.17
944,0.07,0.08
945,0.06,0.08
946,0.19,0.24
947,0.06,0.06
948,3.83,3.97
949,7.55,7.95
950,1.6,1.71
951,0.07,0.08
952,1.32,1.39
953,0.06,0.06
954,0.98,1.08
955,1.86,1.96
956,1.51,1.62
957,0.7,0.74
958,0.06,0.08
959,0.07,0.08
960,0.06,0.06
961,1.01,1.08
962,3.18,3.3
963,0.08,0.11
964,0.71,0.75
965,1.12,1.23
966,2.07,2.17
967,54.46,56.13
968,1.88,1.98
969,0.06,0.06
970,1.82,1.94
971,0.06,0.08
972,0.1,0.13
973,3.38,3.59
974,0.1,0.11
975,3.35,3.52
976,8.88,9.14
977,1.01,1.08
978,0.07,0.08
979,0.06,0.08
980,2.26,2.39
981,0.07,0.06
982,3.79,3.95
983,2.99,3.14
984,0.07,0.08
985,1.77,1.86
986,1.44,1.56
987,0.08,0.08
988,0.07,0.06
989,6.43,6.76
990,0.05,0.06
991,0.08,0.08
992,10.53,10.89
993,0.1,0.11
994,0.06,0.06
995,3.58,3.75
996,1.06,1.12
997,0.08,0.06
998,0.06,0.06
999,1.3,1.42
1000,0.09,0.08
1001,2.9,3.06
1002,0.06,0.08
1003,42.98,43.7
1004,1.3,1.38
1005,0.67,0.7
1006,0.09,0.08
1007,0.07,0.06
1008,0.99,1.06
1009,0.92,0.97
1010,2.73,2.83
1011,4.73,4.96
1012,1.18,1.25
1013,4.43,4.58
1014,0.05,0.06
1015,0.06,0.08
1016,1.54,1.64
1017,0.07,0.06
1018,1.18,1.25
1019,0.09,0.11
1020,1.28,1.36
1021,0.06,0.06
1022,10.75,11.03
1023,1.89,1.98
1024,1.34,1.41
1025,25.09,25.6
1026,1.67,1.77
1027,2.12,2.22
1028,0.06,0.06
1029,0.08,0.06
1030,1.51,1.6
1031,0.06,0.08
1032,1.02,1.08
1033,1.99,2.1
1034,0.12,0.15
1035,0.08,0.11
1036,2.72,2.84
1037,1.23,1.29
1038,1.52,1.61
1039,0.14,0.18
1040,0.06,0.06
1041,2.72,2.85
1042,0.08,0.06
1043,16.8,17.21
1044,2.75,2.89
1045,5.4,5.89
1046,36.21,36.84
1047,0.94,1.01
1048,2.71,2.94
1049,3.27,3.46
1050,1.06,1.13
1051,2.13,2.26
1052,0.06,0.06
1053,1.55,1.63
1054,1.37,1.44
1055,0.09,0.08
1056,2.61,2.76
1057,0.98,1.03
1058,0.08,0.08
1059,0.07,0.08
1060,0.07,0.08
1061,0.63,0.67
1062,0.07,0.06
1063,0.06,0.06
1064,0.16,0.18
1065,0.24,0.27
1066,0.14,0.15
1067,0.2,0.22
1068,0.21,0.24
1069,0.22,0.27
1070,0.4,0.47
1071,0.18,0.2
1072,0.23,0.27
1073,0.31,0.35
1074,0.19,0.21
1075,0.18,0.22
1076,0.22,0.27
1077,0.17,0.19
1078,0.23,0.27
1079,0.14,0.15
1080,0.24,0.29
1081,0.4,0.48
1082,0.18,0.21
1083,0.23,0.28
1084,0.2,0.24
1085,0.12,0.14
1086,0.18,0.2
1087,0.25,0.27
1088,0.25,0.3
1089,0.23,0.28
1090,0.2,0.23
1091,0.25,0.29
1092,0.4,0.45
1093,0.2,0.23
1094,0.21,0.25
1095,0.17,0.2
1096,0.09,0.11
1097,0.18,0.22
1098,0.4,0.48
1099,0.23,0.27
1100,0.14,0.17
1101,0.11,0.13
1102,0.17,0.19
1103,0.17,0.21
1104,0.25,0.31
1105,0.24,0.28
1106,0.18,0.22
1107,0.36,0.41
1108,0.16,0.18
1109,0.19,0.2
1110,0.16,0.19
1111,0.28,0.32
1112,0.19,0.23
1113,0.2,0.23
1114,0.13,0.16
1115,0.19,0.21
1116,0.36,0.45
1117,0.18,0.21
1118,0.21,0.25
1119,0.22,0.25
1120,0.21,0.27
1121,0.16,0.18
1122,0.28,0.31
1123,0.2,0.24
1124,0.18,0.2
1125,0.2,0.25
1126,0.37,0.42
1127,0.19,0.24
1128,0.2,0.22
1129,0.23,0.26
1130,0.29,0.32
1131,0.11,0.13
1132,0.28,0.32
1133,0.09,0.11
1134,0.2,0.23
1135,0.11,0.14
1136,0.19,0.22
1137,0.26,0.3
1138,0.27,0.3
1139,0.19,0.23
1140,0.32,0.42
1141,0.38,0.44
1142,0.09,0.11
1143,0.25,0.29
1144,0.23,0.27
1145,0.28,0.32
1146,0.23,0.27
1147,0.28,0.36
1148,0.2,0.24
1149,0.25,0.32
1150,0.14,0.16
1151,0.1,0.12
1152,0.23,0.26
1153,0.18,0.23
1154,0.24,0.27
1155,0.15,0.2
1156,0.25,0.28
1157,0.19,0.21
1158,0.18,0.2
1159,0.25,0.29
1160,0.33,0.38
1161,0.21,0.23
1162,0.18,0.21
1163,0.25,0.31
1164,0.13,0.15
1165,0.39,0.44
1166,0.11,0.13
1167,0.24,0.27
1168,0.14,0.15
1169,0.24,0.27
1170,0.22,0.25
1171,0.21,0.24
1172,0.26,0.29
1173,0.25,0.32
1174,0.25,0.29
1175,0.19,0.22
1176,0.38,0.47
1177,0.19,0.22
1178,0.2,0.24
1179,0.22,0.24
1180,0.39,0.45
1181,0.21,0.25
1182,0.22,0.26
1183,0.19,0.24
1184,0.16,0.2
1185,0.19,0.22
1186,0.24,0.3
1187,0.2,0.22
1188,0.19,0.23
1189,0.26,0.29
1190,0.19,0.22
1191,0.22,0.27
1192,0.1,0.12
1193,0.14,0.17
1194,0.16,0.19
1195,0.17,0.2
1196,0.2,0.23
1197,0.18,0.2
1198,0.11,0.13
1199,0.14,0.16
1200,0.24,0.29
1201,0.1,0.12
1202,0.19,0.24
1203,0.13,0.16
1204,0.15,0.19
1205,0.18,0.21
1206,0.3,0.33
1207,0.18,0.23
1208,0.24,0.27
1209,0.11,0.13
1210,0.17,0.19
1211,0.11,0.13
1212,0.16,0.19
1213,0.19,0.21
1214,0.4,0.5
1215,0.17,0.19
1216,0.13,0.16
1217,0.32,0.36
1218,0.13,0.16
1219,0.37,0.42
1220,0.28,0.32
1221,0.22,0.25
1222,0.16,0.18
1223,0.19,0.24
1224,0.21,0.23
1225,0.21,0.27
1226,0.09,0.11
1227,0.41,0.5
1228,0.27,0.31
1229,0.24,0.27
1230,0.19,0.24
1231,0.19,0.24
1232,0.28,0.32
1233,0.19,0.22
1234,0.28,0.32
1235,0.19,0.22
1236,0.13,0.14
1237,0.25,0.29
1238,0.17,0.2
1239,0.09,0.11
1240,0.18,0.23
1241,0.22,0.27
1242,0.19,0.23
1243,0.14,0.16
1244,0.16,0.2
1245,0.2,0.24
1246,0.09,0.11
1247,0.28,0.32
1248,0.12,0.15
1249,0.2,0.26
1250,0.22,0.26
1251,0.34,0.39
1252,0.09,0.11
1253,0.25,0.31
1254,0.18,0.23
1255,0.29,0.33
1256,0.33,0.37
1257,0.19,0.23
1258,0.23,0.27
1259,0.18,0.21
1260,0.11,0.12
1261,0.28,0.31
1262,0.11,0.13
1263,0.17,0.19
1264,0.2,0.23
1265,0.24,0.29
1266,0.12,0.14
1267,0.2,0.26
1268,0.25,0.28
1269,0.3,0.34
1270,0.19,0.22
1271,0.2,0.25
1272,0.28,0.32
1273,0.26,0.29
1274,0.36,0.41
1275,0.17,0.18
1276,0.14,0.17
1277,0.11,0.13
1278,0.19,0.24
1279,0.15,0.17
1280,0.12,0.14
1281,0.25,0.28
1282,0.24,0.28
1283,0.13,0.15
1284,0.23,0.26
1285,0.11,0.13
1286,0.2,0.25
1287,0.21,0.24
1288,0.22,0.24
1289,0.16,0.18
1290,0.17,0.19
1291,0.09,0.11
1292,0.12,0.14
1293,0.25,0.28
1294,0.25,0.29
1295,0.09,0.11
1296,0.2,0.24
1297,0.14,0.15
1298,0.2,0.23
1299,0.24,0.28
1300,0.16,0.18
1301,0.21,0.23
1302,0.14,0.16
1303,0.29,0.33
1304,0.41,0.47
1305,0.25,0.31
1306,0.14,0.16
1307,0.24,0.28
1308,0.23,0.25
1309,0.22,0.25
1310,0.2,0.23
1311,0.19,0.24
1312,0.17,0.19
1313,0.17,0.2
1314,0.11,0.14
1315,0.11,0.13
1316,0.38,0.43
1317,0.18,0.21
1318,0.16,0.18
1319,0.18,0.2
1320,0.1,0.12
1321,0.23,0.29
1322,0.24,0.31
1323,0.27,0.3
1324,0.18,0.21
1325,0.14,0.16
1326,0.35,0.4
1327,0.29,0.32
1328,0.32,0.41
1329,0.3,0.34
1330,0.17,0.21
1331,0.21,0.27
1332,0.19,0.23
1333,0.13,0.15
1334,0.16,0.18
1335,0.12,0.14
1336,0.18,0.2
1337,0.16,0.19
1338,0.13,0.16
1339,0.15,0.17
1340,0.19,0.22
1341,0.12,0.13
1342,0.2,0.23
1343,0.14,0.17
1344,0.25,0.32
1345,0.21,0.24
1346,0.32,0.36
1347,0.26,0.3
1348,0.22,0.26
1349,0.14,0.16
1350,0.13,0.15
1351,0.4,0.48
1352,0.29,0.33
1353,0.23,0.25
1354,0.19,0.22
1355,0.35,0.4
1356,0.26,0.34
1357,0.22,0.24
1358,0.19,0.22
1359,0.18,0.23
1360,0.26,0.32
1361,0.23,0.27
1362,0.39,0.45
1363,0.19,0.22
1364,0.24,0.3
1365,0.24,0.3
1366,0.18,0.21
1367,0.2,0.22
1368,0.15,0.17
1369,0.2,0.25
1370,0.15,0.18
1371,0.18,0.21
1372,0.2,0.23
1373,0.23,0.26
1374,0.15,0.18
1375,0.2,0.22
1376,0.15,0.16
1377,0.24,0.28
1378,0.19,0.21
1379,0.25,0.32
1380,0.3,0.33
1381,0.27,0.31
1382,0.22,0.25
1383,0.11,0.13
1384,0.14,0.16
1385,0.14,0.16
1386,0.37,0.48
1387,0.15,0.17
1388,0.15,0.16
1389,0.25,0.29
1390,0.19,0.22
1391,0.26,0.33
1392,0.37,0.43
1393,0.21,0.25
